Author,Birthdate,Title,Publication Date,Price ($),Current Sales,ISBN,Publisher,Address
Mark Twain,"November 30, 1835",The Adventures of Tom Sawyer,1876,$12.99,25 million,978-0-312-59929-9,Penguin Books,"375 Hudson Street, New York, NY 10014"
Ernest Hemingway,"July 21, 1899",The Old Man and the Sea,1952,$12.99,10 million,978-0-307-75247-6,Simon & Schuster,"1230 Avenue of the Americas, New York, NY 10020"
Harper Lee,"April 28, 1926",To Kill a Mockingbird,1960,$16.99,40 million,978-0-449-22610-9,HarperCollins Publishers,"195 Broadway, New York, NY 10007"
John Steinbeck,"February 27, 1902",The Grapes of Wrath,1939,$12.99,20 million,978-0-312-59925-1,Penguin Books,"375 Hudson Street, New York, NY 10014"
J.D. Salinger,"January 16, 1919",The Catcher in the Rye,1951,$12.99,15 million,978-0-312-59924-4,Penguin Books,"375 Hudson Street, New York, NY 10014"
Stephen King,"September 21, 1947",The Shining,1977,$12.99,350 million,978-0-307-26616-1,Simon & Schuster,"1230 Avenue of the Americas, New York, NY 10020"
Tom Clancy,"April 12, 1947",The Hunt for Red October,1984,$12.99,70 million,978-0-06-019954-8,Penguin Books,"375 Hudson Street, New York, NY 10014"
John Grisham,"February 8, 1955",A Time to Kill,1989,$12.99,80 million,978-0-312-28870-6,Hodder & Stoughton,"338 Euston Road, London, NW1 3BH"
J.K. Rowling,"July 31, 1965",Harry Potter and the Philosopher's Stone,1997,$12.99,500 million,978-0-7475-3269-9,Bloomsbury Publishing,"50 Bedford Square, London, WC1B 3DP"
Stephenie Meyer,"December 24, 1973",Twilight,2005,$12.99,100 million,978-0-553-82764-7,"Little, Brown Book Group","Carmelite House, 50 Victoria Embankment, London, EC4Y 0DZ"
Mark Twain,"November 30, 1835",Fake Second Book Of The Author,1886,$12.99,5 million,978-0-312-59119-9,Penguin Books,"375 Hudson Street, New York, NY 10014"
